id,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,quality
80,0.625,0.2,1.5,0.08,27,119,0.9972,4
81,0.45,0.2,1.6,0.069,3,15,0.9958,5
82,0.43,0.7,1.9,0.464,22,67,0.9974,5
83,0.5,0.47,2,0.086,21,73,0.997,5
84,0.67,0.26,1.8,0.401,16,51,0.9969,5
85,0.3,0.48,1.8,0.069,18,61,0.9959,6
86,0.55,0.15,2.2,0.076,19,40,0.9961,5
87,0.49,0.28,1.9,0.11,20,136,0.9972,6
88,0.49,0.26,1.9,0.062,9,31,0.9966,5
89,0.39,0.44,2.1,0.107,34,125,0.9978,5
90,0.62,0.08,1.8,0.076,8,24,0.9978,5
91,0.52,0.26,1.9,0.079,42,140,0.9964,5
92,0.49,0.28,1.9,0.11,20,136,0.9972,6
93,0.49,0.29,2,0.11,19,133,0.9972,5
94,0.49,0.26,1.9,0.062,9,31,0.9966,5
95,1.02,0.04,1.4,0.045,41,85,0.9938,4
96,0.6,0.17,2.3,0.058,17,106,0.9932,6
97,0.775,0,3,0.102,8,23,0.9965,5
98,0.5,0.25,2,0.07,3,22,0.9963,5
99,0.9,0.06,2.5,0.079,5,10,0.9967,5
100,0.545,0.18,1.9,0.08,13,35,0.9972,6
101,0.61,0.3,2.1,0.084,11,50,0.9972,6
102,0.5,0.3,1.9,0.075,8,22,0.9959,6
103,0.545,0.18,1.9,0.08,13,35,0.9972,6
104,0.575,0.22,2.1,0.077,12,65,0.9967,5
105,0.49,0.24,2.2,0.07,5,36,0.996,5
106,0.575,0.22,2.1,0.077,12,65,0.9967,5
107,0.41,0.68,1.7,0.467,18,69,0.9973,5
108,0.63,0.31,1.7,0.088,15,64,0.9969,5
109,0.33,0.53,2.5,0.091,18,80,0.9976,6
110,0.785,0.52,2,0.122,37,153,0.9969,5
111,0.56,0.19,1.8,0.104,12,47,0.9964,5
112,0.62,0.09,2.2,0.084,11,108,0.9964,5
113,0.6,0.1,2.2,0.085,14,111,0.9964,5
114,0.31,0.44,2.3,0.08,22,46,0.9988,6
115,0.56,0.19,1.8,0.104,12,47,0.9964,5
116,0.4,0.31,2.2,0.09,13,62,0.9966,6
117,0.54,0.28,1.9,0.077,11,40,0.9978,6
118,0.56,0.12,2,0.082,7,28,0.997,6
119,0.55,0.04,2.2,0.119,14,56,0.9962,6
120,0.69,0.08,1.8,0.097,22,89,0.9959,6
121,1.07,0.09,1.7,0.178,10,89,0.9962,5
122,0.55,0.04,2.2,0.119,14,56,0.9962,6
123,0.695,0,2.5,0.075,3,13,0.998,5
124,0.71,0,2.6,0.08,11,34,0.9976,5
125,0.5,0.17,1.6,0.082,21,102,0.996,5
126,0.62,0.04,1.9,0.146,27,90,0.9984,5
127,1.33,0,1.7,0.081,3,12,0.9964,5
128,1.33,0,1.8,0.082,3,12,0.9964,5
129,0.59,0.16,1.8,0.065,3,16,0.9962,7
130,0.38,0.15,1.8,0.072,6,19,0.9955,5
131,0.745,0.56,2,0.118,30,134,0.9968,5
132,0.5,0.09,2.3,0.049,17,99,0.9937,5
133,0.5,0.09,2.3,0.049,17,99,0.9937,5
134,0.5,0.01,1.5,0.06,17,26,0.9952,6
135,1.04,0.05,2.2,0.084,13,29,0.9959,6
136,0.745,0.11,1.9,0.09,16,63,0.9965,5
137,0.715,0.15,1.8,0.089,10,52,0.9968,5
138,0.415,0.36,2,0.081,13,45,0.9972,5
139,0.56,0.19,2.1,0.081,15,105,0.9962,5
140,0.56,0.19,2,0.081,17,108,0.9962,5
141,0.745,0.11,1.9,0.09,16,63,0.9965,5
142,0.715,0.15,1.8,0.089,10,52,0.9968,5
143,0.34,0,1.8,0.05,27,63,0.9916,6
144,0.39,0.08,1.7,0.066,3,20,0.9954,5
145,0.34,0,1.8,0.05,27,63,0.9916,6
146,0.67,0.55,1.8,0.117,32,141,0.9968,5
147,0.68,0.02,1.8,0.087,21,94,0.9944,5
148,0.49,0.26,1.6,0.236,10,88,0.9968,5
149,0.49,0.1,2.3,0.074,12,30,0.9959,6
150,0.4,0.44,2.8,0.089,11,43,0.9975,6
151,0.33,0.47,2.1,0.077,5,11,0.9958,6
152,0.52,1,3.4,0.61,32,69,0.9996,4
153,0.6,0.03,1.8,0.095,25,99,0.995,5
154,0.6,0.03,1.8,0.095,25,99,0.995,5
155,0.43,0.42,5.5,0.07,29,129,0.9973,5
156,0.43,0.42,5.5,0.071,28,128,0.9973,5
157,0.43,0.42,5.5,0.07,29,129,0.9973,5
158,0.43,0.42,5.5,0.071,28,128,0.9973,5
159,0.68,0,2.2,0.073,12,22,0.9969,5
160,0.6,0.18,1.9,0.079,18,86,0.9968,6
161,0.95,0.03,2,0.09,7,20,0.9959,5
162,0.68,0.02,1.3,0.072,9,20,0.9965,4
163,0.53,0.04,1.7,0.076,17,31,0.9964,6
164,0.6,0.26,7.3,0.07,36,121,0.9982,5
165,0.59,0.26,7.2,0.07,35,121,0.9981,5
166,0.63,0.48,1.7,0.1,14,96,0.9961,5
167,0.64,0.1,2.1,0.085,18,101,0.9956,5
168,0.55,0.03,1.6,0.072,17,42,0.9956,4
169,0.63,0.07,2.1,0.089,11,44,0.9953,6
170,0.705,0.24,1.8,0.36,15,63,0.9964,5
171,0.885,0.03,1.8,0.058,4,8,0.9972,4
172,0.42,0.17,2,0.073,6,18,0.9972,6
173,0.42,0.17,2,0.073,6,18,0.9972,6
174,0.62,0.05,1.9,0.068,24,42,0.9961,6
175,0.38,0.21,2,0.08,7,35,0.9961,5
176,0.5,0.04,1.5,0.085,19,49,0.9958,5
177,0.38,0.21,2,0.08,7,35,0.9961,5
178,0.52,0.42,2.3,0.087,8,38,0.9972,6
179,0.805,0,2.5,0.068,7,20,0.9969,5
180,0.61,0.14,2.4,0.067,10,42,0.9969,5
181,0.61,0.14,2.4,0.067,10,42,0.9969,5
182,0.61,0.49,2,0.27,23,110,0.9972,5
183,0.73,0.02,2.5,0.076,16,42,0.9972,5
184,0.61,0.2,1.8,0.077,11,65,0.9971,5
185,0.62,0.21,1.9,0.079,8,62,0.997,6
186,0.31,0.57,2,0.111,26,85,0.9971,5
187,0.39,0.48,2,0.082,14,67,0.9972,5
188,0.705,0.1,2.6,0.084,9,26,0.9976,5
189,0.5,0.33,2,0.084,15,143,0.9968,5
190,0.49,0.32,1.9,0.082,17,144,0.9968,5
191,0.5,0.35,2.9,0.077,21,127,0.9976,5
192,0.37,0.25,1.9,0.074,21,49,0.9974,6
193,0.63,0.12,3.8,0.099,16,126,0.9969,5
194,0.55,0.21,2.2,0.071,7,28,0.9964,5
195,0.55,0.21,2.2,0.071,7,28,0.9964,5
196,0.59,0.33,2,0.074,24,120,0.9968,5
197,0.58,0.3,2.4,0.074,15,55,0.9968,5
198,0.3,0.6,2,0.067,12,27,0.9981,6
199,0.835,0.08,1.2,0.046,13,93,0.9924,7
200,1.09,0.06,2.1,0.061,12,31,0.9948,4
201,0.32,0.47,1.4,0.056,9,24,0.99695,7
202,0.37,0.48,2.1,0.097,39,145,0.9975,5
203,0.5,0.11,1.5,0.075,16,49,0.99545,5
204,0.42,0.35,1.6,0.088,16,39,0.9961,5
205,0.43,0.36,1.6,0.089,14,37,0.99615,6
206,0.3,0.74,2.6,0.095,9,28,0.9994,7
207,0.3,0.74,2.6,0.095,9,28,0.9994,7
208,0.57,0.31,1.8,0.069,26,120,0.99625,5
209,0.44,0.28,2.7,0.1,18,95,0.9966,5
210,0.3,0.58,2.1,0.054,7,19,0.998,7
211,0.53,0.6,2,0.039,5,19,0.99585,6
212,0.725,0.24,2.8,0.083,10,62,0.99685,6
213,0.44,0.64,2.1,0.059,5,15,0.998,6
214,0.57,0.26,2.2,0.06,28,65,0.9959,5
215,0.735,0.08,2.4,0.092,10,41,0.9974,6
216,0.49,0.49,5.6,0.06,26,121,0.9974,5
217,0.625,0.16,2,0.101,13,49,0.9962,5
218,0.725,0.22,2.2,0.072,11,41,0.9967,5
219,0.49,0.19,1.9,0.076,10,44,0.9957,5
220,0.53,0.33,2.4,0.08,24,144,0.99655,5
221,0.34,0.37,2,0.082,24,58,0.9964,6
222,0.53,0.26,2,0.101,16,72,0.9957,5
223,0.61,0.04,1.5,0.057,5,10,0.99525,5
224,0.645,0.25,2,0.083,8,28,0.99815,6
225,0.635,0.36,2,0.089,15,55,0.99745,4
226,0.43,0.25,2.6,0.073,29,63,0.99615,6
227,0.59,0.5,2,0.337,27,81,0.9964,6
228,0.82,0.14,2.6,0.089,9,23,0.9984,5
229,0.43,0.25,2.6,0.073,29,63,0.99615,6
230,0.52,0.25,2.6,0.081,10,37,0.99685,5
231,0.48,0.04,1.6,0.054,19,106,0.9927,7
232,0.38,0.06,1.8,0.078,12,49,0.99625,6
233,0.37,0.2,2.8,0.09,18,58,0.998,6
234,0.52,0.25,2.6,0.081,10,37,0.99685,5
235,1,0.09,2.3,0.065,7,37,0.99685,6
236,0.63,0,1.9,0.097,14,38,0.99675,6
237,0.63,0,1.9,0.097,14,38,0.99675,6
238,0.645,0,1.9,0.097,15,39,0.99675,6
239,0.63,0,1.9,0.097,14,38,0.99675,6
240,1,0.09,2.3,0.065,7,37,0.99685,6
241,0.635,0.37,1.7,0.263,5,62,0.9971,5
242,0.38,0.56,2.1,0.093,6,24,0.99925,6
243,0.58,0.1,1.8,0.102,28,109,0.99565,6
244,0.21,0.44,2.2,0.075,10,24,1.00005,7
245,0.21,0.44,2.2,0.075,10,24,1.00005,7
246,0.66,0,2,0.084,6,23,0.9983,6
247,0.68,0.07,1.9,0.075,16,51,0.99685,5
248,0.6,0.17,2.3,0.072,11,73,0.9963,5
249,0.53,0.06,1.7,0.074,9,39,0.99615,6
250,0.66,0,2,0.084,6,23,0.9983,6
251,0.32,0.44,1.6,0.063,16,37,0.9985,6
252,0.6,0,1.8,0.074,16,34,0.9972,6
253,0.35,0.48,3.1,0.09,5,21,0.9986,5
254,0.775,0.42,1.9,0.092,8,86,0.9959,5
255,0.6,0,1.8,0.074,16,34,0.9972,6
256,0.57,0.23,3.2,0.073,17,119,0.99675,5
257,0.34,0.37,2.2,0.075,5,13,0.998,5
258,0.695,0,2.1,0.075,12,56,0.9968,5
259,0.41,0.76,1.8,0.611,8,45,0.9968,5
260,0.31,0.47,2.6,0.085,14,33,0.99965,7
261,0.33,0.23,1.7,0.077,18,45,0.99625,5
262,0.975,0.04,2,0.087,12,67,0.99565,4
263,0.52,0.03,1.7,0.07,10,35,0.99575,5
264,0.37,0.23,1.8,0.077,23,49,0.9963,5
265,0.56,0.49,2.4,0.064,5,27,0.9999,5
266,0.26,0.52,1.8,0.071,6,10,0.9968,7
267,0.87,0,3.3,0.096,26,61,1.00025,4
268,0.35,0.46,3.6,0.078,15,37,0.9973,8
269,0.54,0.04,3,0.077,7,27,0.9987,6
270,0.18,0.51,4,0.104,4,23,0.9996,6
271,0.545,0.06,4,0.087,27,61,0.9965,6
272,0.18,0.51,4,0.104,4,23,0.9996,6
273,0.37,0.58,4,0.071,17,65,0.99935,5
274,0.715,0.2,2.4,0.076,10,38,0.99735,5
275,0.65,0.18,7,0.088,27,94,0.99915,5
276,0.545,0.06,4,0.087,27,61,0.9965,6
277,0.54,0.04,3,0.077,7,27,0.9987,6
278,0.18,0.51,4,0.104,4,23,0.9996,6
279,0.32,0.45,6.4,0.073,5,13,0.9976,8
280,0.4,0.32,5.6,0.087,10,47,0.9991,7
281,0.26,0.44,3.6,0.071,6,19,0.9986,6
282,0.27,0.68,3.5,0.358,5,10,0.9972,7
283,0.52,0.12,3,0.067,12,53,0.9971,5
284,0.4,0.32,5.6,0.087,10,47,0.9991,7
285,0.59,0.07,3.4,0.102,32,71,1.00015,5
286,0.59,0.07,3.4,0.102,32,71,1.00015,5
287,0.45,0.55,2,0.073,25,49,0.9997,6
288,0.4,0.12,3,0.092,29,53,0.9967,6
289,0.52,0.09,2.5,0.091,20,49,0.9976,7
290,0.42,0.53,3.3,0.105,33,98,1.001,5
291,0.52,0.09,2.5,0.091,20,49,0.9976,7
292,0.2,0.48,2,0.343,6,18,0.9979,5
293,0.55,0.23,2.7,0.091,18,48,0.9994,6
294,0.36,0.25,2.4,0.098,5,16,0.9964,6
295,0.34,0.52,3.2,0.094,17,53,1.0014,6
296,0.5,0.46,2.5,0.073,5,27,1.0001,5
297,0.83,0.37,2.6,0.086,26,70,0.9981,5
298,0.63,0.06,2,0.083,8,29,0.99855,5
299,0.65,0.02,2.3,0.094,5,31,0.9993,5
300,0.67,0.06,2.1,0.08,8,33,0.99845,5
301,0.53,0.06,2.6,0.086,20,44,0.9965,6
302,0.18,0.48,1.5,0.068,7,15,0.9973,6
303,0.705,0.12,2.6,0.092,12,28,0.9994,5
304,0.67,0.12,1.6,0.186,5,21,0.996,5
305,0.65,0.6,2.1,0.112,12,90,0.9973,5
306,0.53,0.48,2.5,0.063,6,25,0.9998,6
307,0.62,0.32,2.2,0.082,7,54,0.9966,5
308,0.41,0.42,2.4,0.213,6,14,0.9994,6
309,0.43,0.44,2.4,0.214,5,12,0.9994,6
310,0.29,0.38,1.7,0.062,9,30,0.9968,6
311,0.53,0.48,2.5,0.063,6,25,0.9998,6
312,0.53,0.24,2,0.072,15,105,0.996,6
313,0.46,0.31,2.8,0.093,19,98,0.99815,6
314,0.47,0.3,3,0.076,30,135,0.9976,5
315,0.36,0.29,2.6,0.087,26,72,0.99645,5
316,0.35,0.29,2.5,0.096,20,53,0.9962,6
317,0.56,0.23,3.4,0.102,37,92,0.9996,5
318,0.77,0.12,2.9,0.082,30,74,0.99865,6
319,0.66,0.39,3.2,0.083,21,59,0.9989,7
320,0.77,0.12,2.9,0.082,30,74,0.99865,6
321,0.66,0.39,3.2,0.083,21,59,0.9989,7
322,0.61,0.26,3.4,0.09,25,87,0.99975,5
323,0.62,0.05,2.3,0.079,6,18,0.99735,5
324,0.59,0.42,2.8,0.09,35,73,0.999,6
325,0.49,0.2,11,0.071,13,50,1.0015,6
326,0.49,0.2,11,0.071,13,50,1.0015,6
327,0.53,0.66,3.65,0.121,6,14,0.9978,7
328,0.44,0.5,4.5,0.107,5,13,0.998,5
329,0.27,0.62,2.6,0.082,6,21,1.0002,6
330,0.46,0.39,2,0.061,7,15,0.9981,5
331,0.36,0.64,2.9,0.122,10,41,0.998,6
332,0.36,0.64,2.9,0.122,10,41,0.998,6
333,0.58,0.28,3.2,0.066,21,114,0.9973,6
334,0.56,0.08,2.1,0.105,16,44,0.9958,5
335,0.65,0.01,2.5,0.078,17,38,0.9963,7
336,0.695,0.53,3.4,0.128,7,21,0.9992,7
337,0.43,0.45,1.9,0.052,6,16,0.9948,6
338,0.43,0.32,2.8,0.08,29,58,0.9974,5
339,0.49,0.58,3,0.103,28,99,1.0008,6
340,0.28,0.54,2.3,0.082,12,29,0.9997,7
341,0.34,0.5,2.4,0.066,10,21,1,6
342,0.42,0.48,2.7,0.065,5,18,0.9972,6
343,0.39,0.47,1.8,0.118,6,14,0.9982,6
344,0.39,0.47,1.8,0.118,6,14,0.9982,6
345,0.57,0.5,2.6,0.082,6,32,1.0006,6
346,0.685,0,1.9,0.067,40,63,0.9979,5
347,0.815,0.02,2.7,0.072,17,34,0.9955,7
348,0.49,0.67,3,0.093,6,15,0.9986,6
349,0.56,0.31,2.8,0.089,15,46,0.9979,6
350,0.785,0,2.6,0.093,11,28,0.9994,6
351,0.67,0.22,2.7,0.107,17,34,1.0004,6
352,0.795,0,2.6,0.096,11,26,0.9994,6
353,0.665,0,2.4,0.09,8,19,0.9974,5
354,0.53,0.79,4.8,0.12,23,77,1.0018,5
355,0.21,0.4,1.4,0.066,40,165,0.9912,6
356,0.75,0.01,2.4,0.078,17,32,0.9955,6
357,0.41,0.52,3,0.08,29,55,1.0001,5
358,0.42,0.66,2.95,0.116,12,29,0.997,7
359,0.43,0.66,3.1,0.109,10,23,1,7
360,0.38,0.66,2.6,0.088,10,41,1.001,6
361,0.7,0.23,2,0.099,14,81,0.9973,5
362,0.45,0.31,2.6,0.086,21,50,0.9982,6
363,0.58,0.66,2.5,0.072,6,37,0.9992,5
364,0.46,0.63,2,0.071,6,15,0.9988,5
365,0.615,0.66,5.8,0.083,7,42,1.0022,7
366,0.42,0.5,3.4,0.107,7,21,0.9979,6
367,0.615,0.66,5.8,0.083,7,42,1.0022,7
368,0.575,0.61,2.6,0.076,11,24,1,5
369,0.34,0.52,2.8,0.159,15,75,0.9998,5
370,0.27,0.53,2.4,0.074,6,18,0.9962,7
371,0.765,0.02,2.3,0.063,35,63,0.9975,5
372,0.24,0.4,1.6,0.056,11,25,0.9967,6
373,0.28,0.48,1.8,0.067,26,46,0.9967,6
374,0.55,0.22,2.2,0.106,12,72,0.9959,5
375,0.41,0.63,3.8,0.089,6,47,1.0014,6
376,0.54,0.71,4.4,0.124,6,15,0.9984,7
377,0.45,0.5,3,0.078,19,47,1.0003,6
378,0.27,0.53,2.4,0.074,6,18,0.9962,7
379,0.625,0.66,6.2,0.088,6,24,0.9988,6
380,0.42,0.38,2.5,0.094,24,60,0.9979,6
381,0.26,0.42,2,0.08,11,27,0.9974,6
382,0.415,0.68,2.9,0.085,17,43,1.0014,6
383,0.26,0.42,2,0.08,11,27,0.9974,6
384,0.26,0.42,2,0.08,11,27,0.9974,6
385,0.51,0.28,2.1,0.087,23,54,0.998,5
386,0.63,0.07,2.4,0.09,11,37,0.9979,6
387,0.54,0.26,2,0.088,23,48,0.9981,6
388,0.66,0.15,1.9,0.079,17,42,0.9972,6
389,0.46,0.26,1.9,0.088,23,53,0.9981,6
390,0.38,0.31,2.5,0.096,16,49,0.9982,7
391,0.85,0.05,1.4,0.045,12,88,0.9924,8
392,0.415,0.68,2.9,0.085,17,43,1.0014,6
393,0.37,0.52,2,0.082,6,26,0.998,5
394,0.665,0.61,2,0.112,13,95,0.997,5
395,0.6,0.65,2.3,0.063,6,25,0.9997,5
396,0.37,0.76,4.2,0.066,7,38,1.0004,7
397,0.735,0.02,7.9,0.122,68,124,0.9994,5
398,0.59,0.59,2.6,0.087,13,49,0.9988,6
399,0.59,0.59,2.6,0.087,13,49,0.9988,6
400,0.765,0.22,2.3,0.064,9,42,0.9963,5
401,0.735,0.02,7.9,0.122,68,124,0.9994,5
402,0.26,0.3,1.7,0.059,20,38,0.9949,6
403,0.48,0.54,2.6,0.085,19,64,1,6
404,0.6,0.49,2.7,0.085,10,41,0.9994,6
405,0.69,0.05,2.7,0.075,15,27,0.9974,5
406,0.31,0.46,1.4,0.059,11,25,0.9966,6
407,0.44,0.47,2.5,0.063,9,28,0.9981,6
408,0.39,0.66,3,0.093,12,30,0.9996,7
409,0.34,0.58,3.7,0.174,6,16,0.997,6
410,0.46,0.49,4.5,0.07,26,49,0.9981,4
411,0.43,0.34,2.5,0.08,26,86,0.9987,6
412,0.45,0.35,2.4,0.08,23,78,0.9987,5
413,0.735,0.16,1.9,0.1,15,77,0.9966,5
414,0.4,0.53,6.7,0.097,6,19,0.9986,7
415,0.52,0.34,2.7,0.087,24,122,0.9982,5
416,0.725,0.24,6.6,0.117,31,134,1.0014,5
417,0.48,0.64,2.2,0.111,6,20,0.997,6
418,0.58,0.12,1.9,0.091,34,124,0.9956,5
419,0.38,0.51,2,0.121,7,20,0.9996,6
420,0.77,0,1.8,0.066,34,52,0.9976,5
421,0.56,0.33,2.4,0.089,35,67,0.9972,7
422,0.84,0.03,2.3,0.059,32,48,0.9952,7
423,0.96,0.2,2,0.047,15,60,0.9955,5
424,0.24,0.47,2.1,0.066,6,24,0.9978,7
425,0.96,0.2,2,0.047,15,60,0.9955,5
426,0.84,0.03,2.3,0.059,32,48,0.9952,7
427,0.67,0.08,2.1,0.045,19,48,0.9949,6
428,0.78,0.22,1.9,0.077,6,32,0.9988,6
429,0.52,0.33,1.3,0.07,9,30,0.9978,5
430,0.84,0.63,2.4,0.088,13,35,0.9997,6
431,0.24,0.47,2.1,0.066,6,24,0.9978,7
432,0.55,0.35,2.2,0.074,21,66,0.9974,5
433,0.37,0.69,2.3,0.078,12,24,0.9958,6
434,0.39,0.63,2.3,0.091,6,18,1.0004,5
435,0.41,0.55,3.2,0.076,22,54,0.9996,6
436,0.39,0.63,2.3,0.091,6,18,1.0004,5
437,0.67,0.3,2,0.06,38,62,0.9958,6
438,0.45,0.73,3.2,0.066,6,22,0.9986,6
439,0.41,0.55,3.2,0.076,22,54,0.9996,6
440,0.62,0.18,1.5,0.062,7,50,0.9951,5
441,0.31,0.72,2.2,0.072,6,29,0.9987,8
442,0.4,0.65,2.15,0.068,7,27,0.9988,6
443,0.685,0.76,3.7,0.1,6,43,1.0032,7
444,0.44,0.49,2.7,0.077,11,19,0.9963,7
445,0.57,0.01,1.7,0.054,5,27,0.9934,7
446,0.735,0.1,2.1,0.079,6,31,0.9986,6
447,0.38,0.6,2.6,0.081,31,72,0.9996,5
448,0.48,0.29,2.1,0.127,6,16,0.9968,5
449,0.53,0.22,2,0.1,7,27,0.9967,6
450,0.39,0.69,2.8,0.095,17,35,0.9994,6
451,0.39,0.69,2.8,0.095,17,35,0.9994,6
452,0.37,0.53,1.8,0.413,9,26,0.9979,6
453,0.56,0.03,1.7,0.084,18,35,0.9968,6
454,0.33,0.63,2.8,0.084,5,22,0.9998,7
455,0.23,0.4,1.6,0.063,21,67,0.9952,5
456,0.62,0.67,5.2,0.086,6,19,0.9988,8
457,0.59,0.39,2.3,0.095,5,22,0.9986,5
458,0.63,0.21,2.7,0.097,29,65,0.9988,5
459,0.33,0.63,2.8,0.084,5,22,0.9998,7
460,0.58,0.66,2.2,0.074,10,47,1.0008,3
461,0.43,0.52,2.3,0.083,14,23,0.9976,6
462,0.615,0.22,2.6,0.087,6,19,0.9982,5
463,0.26,0.68,2.55,0.085,10,25,0.997,5
464,0.66,0.7,2.2,0.098,25,129,0.9972,5
465,0.315,0.54,2.1,0.084,5,15,0.9987,6
466,0.29,0.4,2.9,0.098,10,26,1.0006,5
467,0.5,0.42,2,0.069,21,51,0.9982,6
468,0.46,0.45,2.6,0.065,7,18,0.9947,6
469,0.36,0.69,2.1,0.09,6,21,1,6
470,0.82,0.02,1.2,0.07,36,48,0.9952,5
471,0.32,0.65,2.6,0.093,15,47,0.9996,5
472,0.54,0.42,2.4,0.081,25,52,0.997,6
473,0.37,0.55,2.6,0.083,25,68,0.9995,6
474,0.35,0.55,2.1,0.062,5,14,0.9971,5
475,0.28,0.51,1.7,0.08,10,24,0.9982,6
476,0.68,0.24,2.2,0.087,5,28,0.9988,5
477,0.27,0.41,2,0.091,6,16,0.998,5
478,0.24,0.49,1.8,0.075,6,20,0.9977,6
479,0.68,0.24,2.2,0.087,5,28,0.9988,5
480,0.685,0.11,2.7,0.077,6,31,0.9984,6
481,0.28,0.39,15.5,0.069,6,23,1.0026,5
482,0.3,0.56,2.8,0.08,6,17,0.9964,8
483,0.36,0.59,2.2,0.152,6,18,0.9986,5
484,0.36,0.6,2.2,0.152,7,18,0.9986,5
485,0.44,0.68,4.1,0.114,6,24,0.997,6
486,0.67,0.39,1.9,0.054,6,17,0.9976,5
487,0.67,0.39,1.9,0.054,6,17,0.9976,5
488,0.645,0.36,1.8,0.053,5,14,0.9982,6
