id,pH,sulphates,alcohol
95,3.75,0.48,10.5
96,3.85,0.6,12.9
97,3.45,0.56,10.7
98,3.25,0.63,9.2
99,3.39,0.56,9.8
100,3.3,0.59,9
101,3.4,0.61,10.2
102,3.31,0.56,10.4
103,3.3,0.59,9
104,3.29,0.51,9.2
105,3.33,0.48,9.4
106,3.29,0.51,9.2
107,3.08,1.31,9.3
108,3.46,0.79,9.3
109,3.37,0.8,9.6
110,3.21,0.69,9.3
111,3.19,0.93,9.5
112,3.15,0.66,9.8
113,3.15,0.66,9.8
114,3.32,0.67,9.7
115,3.19,0.93,9.5
116,3.07,0.63,10.5
117,3.39,0.61,10
118,3.37,0.5,9.4
119,3.21,0.6,10.9
120,3.34,0.54,9.2
121,3.3,0.57,9
122,3.21,0.6,10.9
123,3.49,0.52,9.2
124,3.44,0.53,9.5
125,3.39,0.48,9.5
126,3.16,0.7,9.4
127,3.53,0.49,10.9
128,3.54,0.48,10.9
129,3.42,0.92,10.5
130,3.42,0.57,9.4
131,3.24,0.66,9.4
132,3.63,0.63,13
133,3.63,0.63,13
134,3.4,0.58,9.8
135,3.22,0.55,9.9
136,3.19,0.82,9.6
137,3.23,0.77,9.5
138,3.48,0.64,9.2
139,3.33,0.54,9.5
140,3.32,0.54,9.5
141,3.19,0.82,9.6
142,3.23,0.77,9.5
143,3.68,0.79,14
144,3.34,0.58,9.4
145,3.68,0.79,14
146,3.17,0.62,9.4
147,3.54,0.52,10
148,3.11,0.8,9.3
149,3.42,0.58,10.2
150,3.53,0.61,10.5
151,3.33,0.53,10.3
152,2.74,2,9.4
153,3.35,0.54,10.1
154,3.35,0.54,10.1
155,3.42,0.72,10.5
156,3.42,0.71,10.5
157,3.42,0.72,10.5
158,3.42,0.71,10.5
159,3.48,0.5,9.3
160,3.59,0.57,9.3
161,3.2,0.56,9.6
162,3.17,1.08,9.2
163,3.33,0.56,10
164,3.37,0.49,9.4
165,3.37,0.49,9.4
166,3.19,0.62,9.5
167,3.34,0.52,10.2
168,3.37,0.48,9
169,3.47,0.55,10.4
170,3,1.59,9.5
171,3.36,0.33,9.1
172,3.29,0.61,9.2
173,3.29,0.61,9.2
174,3.42,0.57,11.5
175,3.33,0.47,9.5
176,3.35,0.78,9.5
177,3.33,0.47,9.5
178,3.58,0.61,10.5
179,3.48,0.56,9.6
180,3.19,0.59,9.5
181,3.19,0.59,9.5
182,3.12,1.02,9.3
183,3.44,0.52,9.3
184,3.54,0.58,9.3
185,3.52,0.58,9.3
186,3.26,0.53,9.7
187,3.34,0.55,9.2
188,3.39,0.49,9.7
189,3.2,0.55,9.5
190,3.2,0.55,9.5
191,3.23,0.62,9.4
192,3.57,0.62,9.8
193,3.28,0.61,9.5
194,3.28,0.55,9.7
195,3.28,0.55,9.7
196,3.25,0.54,9.4
197,3.46,0.59,10.2
198,3.11,0.97,10.1
199,3.57,0.85,13
200,3.51,0.43,11.4
201,3.22,0.82,10.3
202,3.04,1.03,9.3
203,3.36,0.79,9.5
204,3.34,0.55,9.2
205,3.34,0.56,9.2
206,3.2,0.77,10.8
207,3.2,0.77,10.8
208,3.29,0.53,9.3
209,3.22,0.67,9.4
210,3.31,0.88,10.5
211,3.3,0.86,12.4
212,3.35,0.56,10
213,3.21,0.67,10.2
214,3.3,0.43,10.1
215,3.24,0.71,9.8
216,3.34,0.76,10.5
217,3.14,0.57,11
218,3.36,0.55,9.1
219,3.39,0.54,9.7
220,3.3,0.6,9.5
221,3.34,0.59,9.4
222,3.15,0.57,9.4
223,3.42,0.6,9.5
224,3.28,0.6,10
225,3.31,0.57,10.4
226,3.37,0.58,10.5
227,3.04,1.61,9.5
228,3.39,0.63,9.8
229,3.37,0.58,10.5
230,3.46,0.5,11
231,3.54,0.62,12.2
232,3.37,0.52,9.9
233,3.34,0.7,9.6
234,3.46,0.5,11
235,3.32,0.55,9
236,3.37,0.58,9
237,3.37,0.58,9
238,3.37,0.58,9.2
239,3.37,0.58,9
240,3.32,0.55,9
241,3,1.09,9.3
242,3.14,0.71,10.9
243,3.08,0.49,9.8
244,3.07,0.84,9.2
245,3.07,0.84,9.2
246,3.61,0.96,9.9
247,3.38,0.52,9.5
248,3.2,0.45,9.3
249,3.35,0.48,9.8
250,3.61,0.96,9.9
251,3.22,0.78,10
252,3.47,0.7,9.9
253,3.17,0.53,10.5
254,3.23,0.59,9.5
255,3.47,0.7,9.9
256,3.26,0.57,9.3
257,3.22,0.62,9.2
258,3.49,0.67,9.2
259,3.06,1.26,9.4
260,3.36,0.8,10.5
261,3.29,0.65,9.3
262,3.35,0.6,9.4
263,3.34,0.57,10
264,3.28,0.67,9.3
265,3.08,0.87,10.9
266,3.2,0.72,10.2
267,3.6,0.72,9.8
268,3.35,0.86,12.8
269,3.69,0.91,9.4
270,3.28,0.97,10.1
271,3.36,0.67,10.7
272,3.28,0.97,10.1
273,3.22,0.78,10.1
274,3.31,0.64,9.4
275,3.38,0.77,9.4
276,3.36,0.67,10.7
277,3.69,0.91,9.4
278,3.28,0.97,10.1
279,3.23,0.82,12.6
280,3.38,0.77,10.5
281,3.12,0.82,9.3
282,3.25,1.08,9.9
283,3.36,0.57,9.1
284,3.38,0.77,10.5
285,3.31,0.71,9.8
286,3.31,0.71,9.8
287,3.1,0.76,10.3
288,3.37,0.7,10.3
289,3.34,0.86,10.6
290,3.2,0.95,9.2
291,3.34,0.86,10.6
292,3.3,0.71,10.5
293,3.22,0.64,10.3
294,3.41,0.6,10.1
295,3.05,0.81,9.5
296,3.05,0.64,9.5
297,3.16,0.52,9.9
298,3.67,0.73,9.6
299,3.67,0.8,9.7
300,3.68,0.71,9.6
301,3.38,0.59,10.7
302,3.22,0.64,10.1
303,3.51,0.72,10
304,3.39,0.54,9.5
305,3.2,0.52,9.2
306,3.12,0.59,9.3
307,3.36,0.52,9.4
308,3.19,0.62,9.5
309,3.19,0.63,9.5
310,3.41,0.53,9.5
311,3.12,0.59,9.3
312,3.27,0.54,9.4
313,3.32,0.63,9.5
314,3.3,0.53,9.4
315,3.39,0.68,11
316,3.42,0.65,11
317,3.3,0.65,10.1
318,3.3,0.64,10.4
319,3.37,0.71,11.5
320,3.3,0.64,10.4
321,3.37,0.71,11.5
322,3.24,0.62,9.7
323,3.29,0.63,9.3
324,3.28,0.7,9.5
325,3.16,0.69,9.2
326,3.16,0.69,9.2
327,3.05,0.74,11.5
328,3.28,0.83,11.5
329,3.16,0.67,9.7
330,3.18,0.62,9.5
331,3.23,0.66,12.5
332,3.23,0.66,12.5
333,3.22,0.54,9.4
334,3.13,0.52,11
335,3.34,0.74,11.7
336,3.17,0.84,12.2
337,3.35,0.7,12.5
338,3.31,0.64,10.3
339,3.16,1,11.5
340,3.11,1.36,9.8
341,3.12,1.18,9.2
342,3.21,0.87,11.3
343,3.3,0.75,9.8
344,3.3,0.75,9.8
345,3.12,0.78,10.7
346,3.6,0.81,9.9
347,3.58,0.89,12.3
348,3.02,0.93,12
349,3.11,0.92,10
350,3.36,0.86,9.4
351,3.28,0.98,9.9
352,3.35,0.83,9.4
353,3.27,0.73,9.3
354,3.18,0.77,13
355,3.25,0.59,11.9
356,3.55,0.61,12.8
357,3.26,0.88,11
358,3.24,0.75,11.7
359,3.15,0.85,10.4
360,3.17,0.68,9.8
361,3.19,0.7,9.4
362,3.37,0.91,9.9
363,3.05,0.56,10
364,2.99,0.87,10.2
365,3.07,0.73,10
366,3.26,0.93,11.8
367,3.07,0.73,10
368,3.16,0.69,9
369,3.18,0.64,9.4
370,3.2,1.13,12
371,3.57,0.78,9.9
372,3.32,0.87,8.7
373,3.32,1.04,10.6
374,3.05,0.63,9.2
375,3.01,0.81,10.8
376,3.01,0.83,11.8
377,3.26,1.11,11
378,3.2,1.13,12
379,3.11,0.99,13.3
380,3.31,0.7,10.8
381,3.21,0.8,9.4
382,3.06,0.8,10
383,3.21,0.8,9.4
384,3.21,0.8,9.4
385,3.42,0.74,9.2
386,3.43,0.76,9.7
387,3.41,0.74,9.2
388,3.31,0.54,9.6
389,3.43,0.74,9.2
390,3.19,0.7,10
391,3.56,0.82,12.9
392,3.06,0.8,10
393,3.18,0.51,9.5
394,3.16,0.54,9.1
395,3.03,0.57,9.9
396,3.22,0.6,13
397,3.47,0.53,9.9
398,3.18,0.65,11
399,3.18,0.65,11
400,3.1,0.55,9.4
401,3.47,0.53,9.9
402,3.29,0.47,10.8
403,3.1,0.61,10.5
404,3.15,0.63,10.5
405,3.26,0.61,9.1
406,3.36,0.76,10.1
407,3.24,0.65,10.8
408,3.18,0.63,10.8
409,3.19,0.7,11.3
410,3.05,0.57,9.6
411,3.38,0.62,9.5
412,3.38,0.62,9.5
413,3.27,0.64,9.3
414,3.27,0.82,11.7
415,3.26,0.61,9.5
416,3.32,1.07,9.3
417,3.26,0.66,11.7
418,3.44,0.48,10.5
419,3.24,0.76,10.4
420,3.62,0.68,9.9
421,3.28,0.73,11.8
422,3.52,0.56,12.3
423,3.36,0.44,10.9
424,3.15,0.9,11
425,3.36,0.44,10.9
426,3.52,0.56,12.3
427,3.49,0.49,11.4
428,3.26,0.56,10.6
429,3.24,0.6,9.3
430,3.1,0.6,10.4
431,3.15,0.9,11
432,3.25,0.56,9.2
433,3,0.65,12.8
434,3.16,0.49,9.5
435,3.15,0.89,9.9
436,3.16,0.49,9.5
437,3.26,0.56,10.2
438,3.17,0.66,11.2
439,3.15,0.89,9.9
440,3.08,0.6,9.3
441,2.88,0.82,9.8
442,3.06,0.68,11.3
443,2.95,0.68,11.2
444,3.23,0.63,11.6
445,3.57,0.84,12.5
446,3.23,0.56,10.1
447,3.1,0.73,10.5
448,3.22,0.72,11.2
449,3.2,0.56,10.2
450,3.1,0.61,10.8
451,3.1,0.61,10.8
452,3.06,1.06,9.1
453,3.44,0.63,10
454,3.26,0.74,11.2
455,3.5,0.63,11.1
456,3.22,0.69,13.4
457,3.37,0.58,10.3
458,3.28,0.58,9.6
459,3.26,0.74,11.2
460,3.25,0.57,9
461,3.35,0.61,11.3
462,3.26,0.61,9.3
463,3.18,0.61,11.8
464,3.08,0.53,9
465,2.98,0.7,9.2
466,3.48,0.91,9.7
467,3.16,0.72,11.5
468,3.32,0.79,14
469,3.17,0.62,9.2
470,3.2,0.58,9.8
471,3.05,0.61,10.6
472,3.2,0.71,11.4
473,3.15,0.82,10.4
474,3.26,0.79,10.6
475,3.2,0.89,9.4
476,3.14,0.6,10.2
477,3.28,0.7,9.7
478,3.18,1.06,11
479,3.14,0.6,10.2
480,3.19,0.7,10.1
481,3.12,0.66,9.2
482,3.15,0.92,11.7
483,3.04,1.05,9.4
484,3.04,1.06,9.4
485,3.06,0.66,13.4
486,3.17,0.47,10
487,3.17,0.47,10
488,3.17,0.42,10
489,3.32,0.92,10.8
490,3.34,0.75,10.2
491,3.31,0.67,10.6
492,3.34,0.79,13.3
493,3.32,0.9,13.4
494,3.48,0.74,11.6
495,3.44,0.55,12.1
496,3.15,0.65,11
497,3.43,0.65,9
498,3.32,0.79,11.1
499,3.15,0.65,11
500,3.48,0.74,11.6
501,3.43,0.65,9
502,3.17,0.85,12
503,3.17,0.85,12
504,3.18,1.04,10.9
505,3.21,1.05,10.8
506,3.16,0.78,12.5
507,3.25,1.02,10.8
508,3.17,0.71,9.5
509,3.18,0.63,10.2
510,3.04,0.68,11.4
511,3.02,0.61,9.5
512,3.18,0.63,10.2
513,3.03,0.81,9.7
514,3.09,0.66,11.8
515,3.09,0.66,11.8
516,3.31,1.14,9.3
517,3.25,0.74,11.9
518,3.16,0.63,8.4
519,3.22,0.68,11.7
520,3.36,0.78,11
521,3.42,0.9,10
522,3.48,0.64,9.1
523,3.38,0.99,9.8
524,3.22,0.55,9.4
525,3.23,0.64,9.5
526,3.24,0.67,9.9
527,3.36,0.78,11
528,3.39,0.77,11.4
529,3.34,0.75,8.7
530,3.09,0.57,9.4
531,3.41,0.87,10.3
532,3.16,0.61,10.3
533,3.16,0.61,10.3
534,3.22,0.66,12.8
535,3.28,0.56,10
536,3.41,0.87,10.3
537,3.09,0.57,9.4
538,3.37,0.77,10.7
539,3.2,0.66,12
540,3.22,0.62,11.2
541,3.26,0.67,9.6
542,3.21,0.73,11
543,3.12,0.59,9.9
544,3.06,0.72,11
545,2.86,0.79,8.4
546,3.08,0.59,9.1
547,3.45,0.78,9.5
548,3.26,0.86,10.7
549,3.12,0.75,10.4
550,3.27,0.61,9.4
551,3.33,0.56,9.5
552,3.19,0.73,10
553,3.12,0.74,10
554,3.74,0.62,11.5
555,2.92,0.74,11.1
556,2.92,0.74,11.1
557,3.07,0.56,11.7
558,2.92,0.74,11.1
559,3.07,0.56,11.7
560,3.3,0.68,12.7
561,3.14,0.57,11.4
562,3.23,0.58,9.2
563,3.08,0.61,9.2
564,3.31,0.61,10.1
565,3.3,0.68,12.7
566,3.14,0.57,11.4
567,3.32,0.6,9
568,3.32,0.6,9
569,3.31,0.79,10.7
570,3.57,0.57,11.7
571,3.32,0.91,11
572,3.57,0.57,11.7
573,3.14,0.61,10.4
574,3.3,0.56,9.6
575,3.19,0.7,10
576,3.2,0.8,10.2
577,3.34,0.52,10
578,3.3,0.6,9.5
579,3.29,0.6,9.8
580,3.14,0.51,9.8
581,3.19,0.44,9.6
582,3.19,0.44,9.6
583,3.19,0.43,9.2
584,2.98,0.66,9.9
585,3.3,0.76,10.7
586,3.47,0.66,9.6
587,3.12,1.02,10.6
588,3.26,0.59,9.3
589,3.72,0.74,14
590,3.05,0.74,10.5
591,3.35,0.57,9.7
592,3.12,0.5,11.5
593,3.35,0.57,9.7
594,3.29,0.58,9
595,3.4,0.53,9.5
596,3.27,0.57,9.3
597,3.04,0.6,9.3
598,3.09,0.63,10
599,3.2,0.48,9.8
600,3,0.7,9.3
601,3.26,0.47,10
602,3.1,0.56,9
603,3.3,0.52,9.3
604,3.1,0.56,9
605,3.17,0.62,9.1
606,3.31,0.59,9.2
607,3.34,0.79,12.2
608,3.31,0.53,10.5
609,3.32,0.64,10.4
610,3.56,0.52,12.7
611,3.39,0.54,9.2
612,2.98,0.54,9.4
613,3.32,0.6,10
614,3.26,0.74,9.8
615,2.87,1.36,10.2
616,3.5,0.57,9.7
617,3.5,0.57,9.7
618,3.03,0.93,9.8
619,3.13,0.7,10.2
620,3.09,0.8,9.3
621,3.27,0.61,9.4
622,3.28,0.62,9.4
623,3.13,0.55,9.5
624,3.49,0.96,12.1
625,3.46,0.72,10.2
626,3.46,0.72,10.2
627,3.36,0.49,9.1
628,3.36,0.49,9.1
629,3.27,0.6,9.3
630,3.21,0.61,9.3
631,3.27,0.6,9.3
632,3.25,0.63,9.5
633,3.32,0.57,10.5
634,3.43,0.64,11.3
635,3.27,0.58,9.5
636,3.27,0.55,9.7
637,3.24,0.53,9.4
638,3.24,0.53,9.4
639,3.35,0.65,10.2
640,3.18,1.36,10.3
641,3.39,0.62,9.4
642,3.46,0.63,9.5
643,3.39,0.62,9.4
644,3.46,0.63,9.5
645,3.39,0.62,9.4
646,3.37,0.69,10.1
647,3.4,0.63,10.1
648,3.32,0.58,11
649,3.33,0.67,11.2
650,3.16,0.57,11.3
651,2.89,0.5,9.6
652,3.41,0.67,11.2
653,2.98,0.84,14.9
654,3.12,0.54,12
655,3.08,0.46,9.5
656,3.14,0.61,9.4
657,2.89,0.5,9.6
658,2.92,0.68,10.5
659,3.32,0.81,9.6
660,3.41,0.57,11
661,3.32,0.81,9.6
662,3.31,0.64,9
663,3.36,0.7,9.6
664,3.04,0.79,10.2
665,3.03,0.66,10.2
666,3.14,0.56,9.7
667,3.18,0.6,9.5
668,2.94,0.66,9.2
669,3.15,0.57,11
670,2.94,0.66,9.2
671,3.26,0.58,10
672,3.2,0.52,9.5
673,3.15,0.53,9.5
674,3.2,0.52,9.5
675,3.08,0.67,9.3
676,3.26,0.65,10.2
677,3.08,0.67,9.3
678,3.4,0.48,9.9
679,3.48,0.53,10
680,3.13,0.54,9.6
681,3.06,0.49,9
682,3.21,0.49,10.2
683,3.33,0.54,9.8
684,3.37,0.56,11.3
685,3.25,0.48,9.4
686,3.37,0.56,11.3
687,3.44,0.6,9.1
688,3.28,0.59,9.7
689,3.4,0.47,9.4
690,3.3,1.05,9.4
691,3.63,0.54,10.7
692,3.48,0.54,9.8
693,3.03,1.17,9
694,3.32,0.62,9.4
695,3.31,0.61,9.4
696,3.9,0.62,12.8
697,3.47,0.67,9.5
698,3.47,0.67,9.5
699,3.31,0.53,9.7
700,3.11,0.62,10.8
701,3.08,0.57,10.1
702,3.47,0.67,9.5
703,3.47,0.67,9.4
704,3.32,0.7,9.6
705,3.29,0.54,9.7
706,3.37,0.49,9.9
707,3.4,0.47,10
708,3.37,0.51,10.5
709,3.34,0.61,11.6
710,3.27,0.66,10
711,3.06,0.57,10.1
712,3.38,0.61,9.5
713,3.36,0.45,9.4
714,3.34,0.46,9.4
715,3.28,0.51,9.8
716,3.29,0.48,9.2
717,3.34,0.46,9.4
718,3.21,0.57,10
719,3.22,0.44,9.6
720,3.46,0.54,9.5
721,3.22,0.44,9.6
722,3.1,0.53,9.2
723,3.21,0.59,10
724,2.94,1.62,9.5
725,3.54,0.6,11.2
726,3.29,0.55,10.4
727,3.43,0.72,11.1
728,3.46,0.68,9.5
729,3.46,0.68,9.5
730,3.61,0.49,12.7
731,3.17,0.67,9.6
732,3.44,0.52,11.5
733,3.39,0.47,9.6
734,3.55,0.6,9.5
735,3.48,0.62,9.3
736,3.26,0.5,9.5
737,3.26,0.5,9.5
738,3.5,0.65,9.3
739,3.1,0.56,9.2
740,3.35,0.6,9.3
741,3.45,0.68,11.5
742,3.21,0.57,9.5
743,3.46,0.65,9.2
744,3.13,0.53,10
745,3.13,0.51,9.5
746,3.52,0.73,9.5
747,3.3,0.47,9
748,3.3,0.48,9.4
749,3.52,0.72,9.6
750,3.52,0.73,9.5
751,3.29,0.55,9.5
752,3.29,0.55,9.5
753,3.39,0.61,9.4
754,3.29,0.55,9.5
755,3.09,1.06,9.1
756,3.51,0.43,10.7
757,3.6,0.46,11.2
758,3.25,0.5,9.8
759,3.25,0.5,9.8
760,3.19,0.52,9.2
761,3.23,0.57,9.7
762,3.25,0.42,9.6
763,3.31,0.53,10
764,3.25,0.42,9.6
765,3.31,0.55,9.5
766,3.31,0.54,9.5
767,3.14,0.54,9.4
768,3.45,0.62,9.5
769,3.55,0.53,9.7
770,3.39,0.54,9.6
771,3.55,0.53,9.7
772,3.28,0.55,9.4
773,3.27,0.55,9.4
774,3.3,0.92,9.5
775,3.31,0.91,9.5
776,3.43,0.46,10
777,3.4,0.6,10.3
778,3.4,0.59,10.3
779,3.36,0.61,10.5
780,3.5,0.6,9.8
781,3.31,0.6,9.4
782,3.66,0.65,9.8
783,3.36,0.53,10
784,3.66,0.65,9.8
785,3.55,0.59,9.8
786,3.21,0.5,9.5
787,3.21,0.5,9.5
788,3.18,0.56,10.1
789,3.18,0.56,10.1
790,3.09,0.52,9.3
791,3.33,0.68,9.7
792,3.23,0.54,9.6
793,3.48,0.6,9.7
794,3.38,0.56,10.8
795,3.17,0.53,12.5
796,2.99,1.18,10.2
797,3.1,0.74,9.6
798,3.24,0.81,10.8
799,3.29,0.52,10.7
800,3.29,0.52,10.7
801,3.25,0.51,9.4
802,3.23,0.44,10
803,3.56,0.94,12.9
804,3.24,0.66,9.6
805,3.26,0.57,9.9
806,3.33,0.7,12.8
807,3.27,0.71,12.5
808,3.33,0.7,12.8
809,3.26,0.86,9.2
810,3.22,0.55,10.3
811,3.3,0.47,10.5
812,3.09,0.68,10.9
813,3.24,0.71,10.8
814,3.44,0.58,11.4
815,3.21,0.76,11.3
816,3.24,0.71,10.8
817,3.23,0.58,10.5
818,3.28,0.73,11.9
819,3.29,0.45,9.4
820,3.28,0.54,9.6
821,3.34,0.6,9.7
822,3.71,0.74,14
823,3.61,0.64,9.8
824,3.61,0.64,9.8
825,3.24,0.53,10.3
826,3.36,0.49,10.7
827,3.4,0.64,11
828,3.36,0.49,10.7
829,3.46,0.74,12.7
830,3.56,0.77,11.1
831,3.38,0.55,10.9
832,3.56,0.77,11.1
833,3.38,0.86,9.9
834,3.38,0.86,9.9
835,3.32,0.47,9.4
836,3.39,0.51,9.3
837,3.26,0.39,11.7
838,3.26,0.39,11.7
839,3.24,0.83,11.2
840,3.46,0.47,10
841,3.24,0.77,12.1
842,3.45,0.63,10.3
843,3.23,0.72,10.9
844,3.28,0.62,9.4
845,3.18,0.83,10.6
846,3.59,0.66,9.8
847,3.59,0.66,9.8
848,3.5,0.7,9.9
849,3.59,0.66,9.8
850,3.58,0.66,9.8
851,3.28,0.55,9.5
852,3.28,0.55,9.5
853,3.22,1.07,9.7
854,3.47,0.73,10.9
855,3.47,0.73,10.9
856,3.51,0.71,11.7
857,3.47,0.73,10.9
858,3.4,0.78,11.3
859,3.15,0.67,10.6
860,3.4,0.82,11.2
861,3.51,0.54,9.5
862,3.66,0.6,11.5
863,3.24,0.44,10.4
864,3.51,0.53,9.7
865,3.51,0.54,9.5
866,3.51,0.54,9.7
867,3.41,0.83,11.3
868,3.4,0.84,11.2
869,3.4,0.82,11.2
870,3.44,0.64,10.9
871,3.41,0.57,11.8
872,3.53,0.57,10.6
873,3.43,0.54,10
874,3.23,0.58,11.1
875,3.12,0.65,11.8
876,3.31,0.79,11.8
877,3.4,0.58,10.9
878,3.41,0.57,11.8
879,3.22,0.5,10
880,3.53,0.55,9.5
881,3.15,0.49,9.9
882,3.48,0.65,11.4
883,3.22,0.78,12
884,3.53,0.55,9.5
885,3.22,0.5,10
886,3.34,0.64,10.5
887,3.33,0.65,10.4
888,3.15,0.79,12.1
889,3.43,0.56,11.2
890,3.22,0.68,9.3
891,3.44,0.58,10.1
892,3.53,0.57,9.7
893,3.22,0.65,9.3
894,3.53,0.57,9.7
895,3.53,0.58,9.8
896,3.42,0.58,10.7
897,3.31,0.77,12.5
898,3.42,0.58,10.7
899,3.31,0.77,12.5
900,3.48,0.49,11
901,3.4,0.69,11.8
902,3.58,0.69,10.8
903,3.58,0.69,10.8
904,3.41,0.59,10.8
905,3.41,0.59,10.8
906,3.23,0.59,9.5
907,3.39,0.71,11
908,3.59,0.54,11.5
909,3.43,0.59,10.8
910,3.29,0.52,11.5
911,3.23,0.57,13.2
912,3.18,0.6,10.9
913,3.33,0.62,12.2
914,3.27,0.64,12.2
915,3.29,0.52,11.5
916,3.27,0.67,11.9
917,3.62,0.61,11
918,3.38,0.64,10.1
919,3.3,0.72,11
920,3.38,0.89,11.8
921,3.24,0.56,10.5
922,3.3,0.72,11
923,3.38,0.89,11.8
924,3.38,0.64,10.1
925,3.18,0.8,11.2
926,3.47,0.87,11
927,3.47,0.9,10.2
928,3.2,0.59,9.2
929,3.18,0.8,11.2
930,3.3,0.73,12
931,3.69,0.73,10.5
932,3.48,0.65,9.8
933,3.45,0.59,9.5
934,3.48,0.65,9.8
935,3.69,0.73,10.5
936,3.39,0.72,11.8
937,3.39,0.72,11.8
938,3.07,0.6,10.4
939,3.34,0.72,12.9
940,3.61,0.54,11.4
941,3.36,0.76,12.4
942,3.19,0.52,12.5
943,3.22,0.64,10
944,3.24,0.6,9.7
945,3.27,0.64,12.1
946,3.14,0.79,11.1
947,3.29,0.99,12
948,3.26,0.62,12.4
949,3.41,0.76,11.9
950,3.41,0.76,11.9
951,3.41,0.76,11.9
952,3.26,0.62,12.4
953,3.31,0.68,11.2
954,3.2,0.69,12.1
955,3.44,0.54,12.2
956,3.36,0.67,10.4
957,3.31,0.62,11.3
958,3.29,0.58,11.1
959,3.47,0.71,11.3
960,3.36,0.61,10
961,3.16,0.85,11.1
962,3.27,0.62,9.3
963,3.38,0.69,9.5
964,3.15,0.69,11.2
965,3.16,0.85,11.1
966,3.34,0.86,11
967,3.13,0.58,11.9
968,3.13,0.48,9.2
969,3.2,0.6,12.2
970,3.46,0.61,10.2
971,3.33,0.87,10.9
972,3.33,0.87,10.9
973,3.22,0.65,11.6
974,3.52,0.63,10.7
975,3.3,0.62,12.1
976,3.44,0.52,9.4
977,3.44,0.52,9.4
978,3.15,0.5,9.1
979,3.28,0.49,11.3
980,3.13,0.63,10.4
981,3.32,0.71,10.5
982,3.25,0.62,10
983,3.34,0.82,12.9
984,3.32,0.71,10.5
985,3.13,0.63,10.4
986,3.45,0.58,11.3
987,3.19,0.55,11.4
988,3.44,0.5,9.4
989,3.16,0.49,9.4
990,3.14,0.51,10.9
991,3.16,0.49,9.4
992,3.45,0.48,9.4
993,3.36,0.48,9.4
994,3.45,0.48,9.4
995,3.15,0.43,9.4
996,3.39,0.62,10.1
997,3.71,0.63,12.8
998,3.71,0.63,12.8
999,3.12,0.48,9.1
1000,3.47,0.53,12.9
1001,3.44,0.72,11.5
1002,3.26,0.82,10.6
1003,3.26,0.84,11.7
1004,3.36,0.55,12.8
1005,3.25,0.54,10.3
1006,3.36,0.55,12.8
1007,3.26,0.84,11.7
1008,3.26,0.84,11.7
1009,3.23,0.7,12
1010,3.18,0.68,10.9
1011,3.25,0.55,12.3
1012,3.17,0.55,10.4
1013,3.23,0.48,10
1014,3.38,0.58,10
1015,3.22,0.58,11.2
